2025-06-04 14:06:31.688 | INFO     |  -  | Started server process [60160]
2025-06-04 14:06:31.688 | INFO     |  -  | Waiting for application startup.
2025-06-04 14:06:31.732 | INFO     |  -  | Application startup complete.
2025-06-04 14:06:41.118 | INFO     |  -  | Shutting down
2025-06-04 14:06:41.221 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 14:06:41.222 | INFO     |  -  | Application shutdown complete.
2025-06-04 14:06:43.251 | INFO     |  -  | Started server process [60174]
2025-06-04 14:06:43.251 | INFO     |  -  | Waiting for application startup.
2025-06-04 14:06:43.266 | INFO     |  -  | Application startup complete.
2025-06-04 15:16:45.239 | INFO     |  -  | Started server process [6457]
2025-06-04 15:16:45.239 | INFO     |  -  | Waiting for application startup.
2025-06-04 15:16:45.273 | INFO     |  -  | Application startup complete.
2025-06-04 15:22:51.379 | INFO     |  -  | Started server process [10633]
2025-06-04 15:22:51.379 | INFO     |  -  | Waiting for application startup.
2025-06-04 15:22:51.398 | INFO     |  -  | Application startup complete.
2025-06-04 15:22:51.398 | INFO     |  -  | Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2025-06-04 15:25:58.806 | INFO     |  -  | Started server process [11891]
2025-06-04 15:25:58.807 | INFO     |  -  | Waiting for application startup.
2025-06-04 15:25:58.822 | INFO     |  -  | Application startup complete.
2025-06-04 15:25:58.823 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 15:25:58.823 | INFO     |  -  | Application shutdown complete.
2025-06-04 15:26:49.199 | INFO     |  -  | Started server process [12298]
2025-06-04 15:26:49.199 | INFO     |  -  | Waiting for application startup.
2025-06-04 15:26:49.215 | INFO     |  -  | Application startup complete.
2025-06-04 15:26:49.215 | INFO     |  -  | Uvicorn running on http://127.0.0.1:8080 (Press CTRL+C to quit)
2025-06-04 15:40:23.766 | INFO     |  -  | Started server process [13323]
2025-06-04 15:40:23.766 | INFO     |  -  | Waiting for application startup.
2025-06-04 15:40:23.781 | INFO     |  -  | Application startup complete.
2025-06-04 15:40:27.515 | INFO     |  -  | Shutting down
2025-06-04 15:40:27.617 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 15:40:27.618 | INFO     |  -  | Application shutdown complete.
2025-06-04 15:40:29.573 | INFO     |  -  | Started server process [13344]
2025-06-04 15:40:29.574 | INFO     |  -  | Waiting for application startup.
2025-06-04 15:40:29.584 | INFO     |  -  | Application startup complete.
2025-06-04 15:49:53.529 | INFO     |  -  | Shutting down
2025-06-04 15:49:53.630 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 15:49:55.751 | INFO     |  -  | Started server process [13683]
2025-06-04 15:49:55.751 | INFO     |  -  | Waiting for application startup.
2025-06-04 15:49:55.767 | INFO     |  -  | Application startup complete.
2025-06-04 21:00:16.976 | INFO     |  -  | Shutting down
2025-06-04 21:00:17.080 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:00:17.085 | INFO     |  -  | Application shutdown complete.
2025-06-04 21:00:19.324 | INFO     |  -  | Started server process [24143]
2025-06-04 21:00:19.324 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:00:19.344 | INFO     |  -  | Application startup complete.
2025-06-04 21:00:19.446 | INFO     |  -  | Shutting down
2025-06-04 21:00:19.547 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:00:21.418 | INFO     |  -  | Started server process [24152]
2025-06-04 21:00:21.418 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:00:21.432 | INFO     |  -  | Application startup complete.
2025-06-04 21:01:31.548 | INFO     |  -  | Shutting down
2025-06-04 21:01:31.650 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:01:33.744 | INFO     |  -  | Started server process [25340]
2025-06-04 21:01:33.745 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:01:33.760 | INFO     |  -  | Application startup complete.
2025-06-04 21:02:09.733 | INFO     |  -  | Shutting down
2025-06-04 21:02:09.835 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:02:11.930 | INFO     |  -  | Started server process [25387]
2025-06-04 21:02:11.930 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:02:11.947 | INFO     |  -  | Application startup complete.
2025-06-04 21:02:51.645 | INFO     |  -  | Shutting down
2025-06-04 21:02:53.820 | INFO     |  -  | Started server process [25440]
2025-06-04 21:02:53.821 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:02:53.836 | INFO     |  -  | Application startup complete.
2025-06-04 21:03:11.615 | INFO     |  -  | Shutting down
2025-06-04 21:03:11.717 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:03:11.720 | INFO     |  -  | Application shutdown complete.
2025-06-04 21:03:13.699 | INFO     |  -  | Started server process [25466]
2025-06-04 21:03:13.699 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:03:13.713 | INFO     |  -  | Application startup complete.
2025-06-04 21:03:39.481 | INFO     |  -  | Shutting down
2025-06-04 21:03:39.582 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:03:41.716 | INFO     |  -  | Started server process [25510]
2025-06-04 21:03:41.716 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:03:41.732 | INFO     |  -  | Application startup complete.
2025-06-04 21:04:11.943 | INFO     |  -  | Shutting down
2025-06-04 21:04:12.044 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:04:14.012 | INFO     |  -  | Started server process [25557]
2025-06-04 21:04:14.012 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:04:14.024 | INFO     |  -  | Application startup complete.
2025-06-04 21:04:29.781 | INFO     |  -  | Shutting down
2025-06-04 21:04:29.883 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:04:29.885 | INFO     |  -  | Application shutdown complete.
2025-06-04 21:04:31.830 | INFO     |  -  | Started server process [25590]
2025-06-04 21:04:31.830 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:04:33.832 | INFO     |  -  | Started server process [25593]
2025-06-04 21:04:33.832 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:04:33.843 | INFO     |  -  | Application startup complete.
2025-06-04 21:05:38.122 | INFO     |  -  | Shutting down
2025-06-04 21:05:38.223 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:06:36.093 | INFO     |  -  | Started server process [25716]
2025-06-04 21:06:36.093 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:06:36.108 | INFO     |  -  | Application startup complete.
2025-06-04 21:07:38.330 | INFO     |  -  | Shutting down
2025-06-04 21:07:38.433 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:07:40.590 | INFO     |  -  | Started server process [25778]
2025-06-04 21:07:40.591 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:07:40.606 | INFO     |  -  | Application startup complete.
2025-06-04 21:08:14.348 | INFO     |  -  | Shutting down
2025-06-04 21:08:14.450 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:08:14.452 | INFO     |  -  | Application shutdown complete.
2025-06-04 21:08:16.626 | INFO     |  -  | Started server process [25826]
2025-06-04 21:08:16.626 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:08:16.641 | INFO     |  -  | Application startup complete.
2025-06-04 21:09:03.322 | INFO     |  -  | Shutting down
2025-06-04 21:09:03.423 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:09:03.424 | INFO     |  -  | Application shutdown complete.
2025-06-04 21:09:05.521 | INFO     |  -  | Started server process [25890]
2025-06-04 21:09:05.521 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:09:05.536 | INFO     |  -  | Application startup complete.
2025-06-04 21:10:56.179 | INFO     |  -  | Shutting down
2025-06-04 21:10:56.281 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:10:58.390 | INFO     |  -  | Started server process [25996]
2025-06-04 21:10:58.390 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:10:58.406 | INFO     |  -  | Application startup complete.
2025-06-04 21:11:06.186 | INFO     |  -  | Shutting down
2025-06-04 21:11:06.288 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:11:08.211 | INFO     |  -  | Started server process [26016]
2025-06-04 21:11:08.212 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:11:08.229 | INFO     |  -  | Application startup complete.
2025-06-04 21:11:17.419 | INFO     |  -  | Shutting down
2025-06-04 21:11:17.520 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:11:17.521 | INFO     |  -  | Application shutdown complete.
2025-06-04 21:11:19.520 | INFO     |  -  | Started server process [26051]
2025-06-04 21:11:19.520 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:11:19.533 | INFO     |  -  | Application startup complete.
2025-06-04 21:11:28.245 | INFO     |  -  | Started server process [26434]
2025-06-04 21:11:28.245 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:11:28.257 | INFO     |  -  | Application startup complete.
2025-06-04 21:17:19.229 | INFO     |  -  | Shutting down
2025-06-04 21:17:19.330 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:17:19.332 | INFO     |  -  | Application shutdown complete.
2025-06-04 21:17:19.333 | INFO     |  -  | Finished server process [26434]
2025-06-04 21:17:21.719 | INFO     |  -  | Started server process [27877]
2025-06-04 21:17:21.720 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:17:21.737 | INFO     |  -  | Application startup complete.
2025-06-04 21:17:33.361 | INFO     |  -  | Shutting down
2025-06-04 21:17:33.463 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:17:33.465 | INFO     |  -  | Application shutdown complete.
2025-06-04 21:17:35.673 | INFO     |  -  | Started server process [27902]
2025-06-04 21:17:35.673 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:17:35.685 | INFO     |  -  | Application startup complete.
2025-06-04 21:18:00.551 | INFO     |  -  | Shutting down
2025-06-04 21:18:00.653 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:18:02.871 | INFO     |  -  | Started server process [27936]
2025-06-04 21:18:02.871 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:18:02.883 | INFO     |  -  | Application startup complete.
2025-06-04 21:18:32.809 | INFO     |  -  | Started server process [28339]
2025-06-04 21:18:32.810 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:18:32.833 | INFO     |  -  | Application startup complete.
2025-06-04 21:20:09.541 | INFO     |  -  | Shutting down
2025-06-04 21:20:09.643 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:20:09.644 | INFO     |  -  | Application shutdown complete.
2025-06-04 21:20:11.806 | INFO     |  -  | Started server process [28444]
2025-06-04 21:20:11.806 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:20:11.819 | INFO     |  -  | Application startup complete.
2025-06-04 21:20:38.288 | INFO     |  -  | Shutting down
2025-06-04 21:20:38.390 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:20:40.582 | INFO     |  -  | Started server process [28482]
2025-06-04 21:20:40.582 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:20:40.619 | INFO     |  -  | Application startup complete.
2025-06-04 21:20:53.462 | INFO     |  -  | Shutting down
2025-06-04 21:20:53.564 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:20:55.704 | INFO     |  -  | Started server process [28506]
2025-06-04 21:20:55.704 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:20:55.717 | INFO     |  -  | Application startup complete.
2025-06-04 21:22:22.605 | INFO     |  -  | Shutting down
2025-06-04 21:22:22.709 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:22:25.011 | INFO     |  -  | Started server process [28593]
2025-06-04 21:22:25.011 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:22:25.023 | INFO     |  -  | Application startup complete.
2025-06-04 21:22:41.590 | INFO     |  -  | Shutting down
2025-06-04 21:22:41.692 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:22:43.888 | INFO     |  -  | Started server process [28625]
2025-06-04 21:22:43.888 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:22:43.900 | INFO     |  -  | Application startup complete.
2025-06-04 21:22:51.086 | INFO     |  -  | Shutting down
2025-06-04 21:22:51.189 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:22:53.381 | INFO     |  -  | Started server process [28646]
2025-06-04 21:22:53.381 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:22:53.393 | INFO     |  -  | Application startup complete.
2025-06-04 21:23:00.469 | INFO     |  -  | Shutting down
2025-06-04 21:23:00.571 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:23:02.774 | INFO     |  -  | Started server process [28669]
2025-06-04 21:23:02.774 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:23:02.786 | INFO     |  -  | Application startup complete.
2025-06-04 21:23:29.668 | INFO     |  -  | Shutting down
2025-06-04 21:23:29.769 | INFO     |  -  | Waiting for application shutdown.
2025-06-04 21:23:31.964 | INFO     |  -  | Started server process [28707]
2025-06-04 21:23:31.964 | INFO     |  -  | Waiting for application startup.
2025-06-04 21:23:31.976 | INFO     |  -  | Application startup complete.
2025-06-04 21:23:46.834 | INFO     |  -  | Shutting down
2025-06-04 21:23:46.936 | INFO     |  -  | Waiting for application shutdown.
